iteration, train, val
1, 4.2153544425964355, 2.737436294555664
2, 2.5146870613098145, 2.7480180263519287
3, 2.4060416221618652, 2.698826313018799
4, 2.3144819736480713, 2.6880879402160645
5, 2.2412607669830322, 2.737013339996338
6, 2.171025514602661, 2.707569122314453
7, 2.0971522331237793, 2.872649908065796
8, 2.053591728210449, 2.713616371154785
9, 2.0562376976013184, 2.7456774711608887
10, 1.9502288103103638, 2.6313414573669434
11, 1.9025976657867432, 2.721285343170166
12, 1.864611268043518, 2.6813836097717285
13, 1.8117741346359253, 2.7194488048553467
14, 1.733686089515686, 2.8287618160247803
15, 1.7634223699569702, 2.744649887084961
16, 1.6768378019332886, 2.7196526527404785
17, 1.6689226627349854, 2.6926352977752686
18, 1.589909315109253, 2.7518701553344727
19, 1.5641969442367554, 2.6891732215881348
20, 1.5391370058059692, 2.6311042308807373
21, 1.4707095623016357, 2.6369471549987793
22, 1.482145071029663, 2.7452685832977295
23, 1.4000918865203857, 2.7303273677825928
24, 1.3692339658737183, 2.7152602672576904
25, 1.3737941980361938, 2.7644846439361572
26, 1.3160812854766846, 2.9266371726989746
27, 1.2994810342788696, 2.7741427421569824
28, 1.2698581218719482, 3.4257493019104004
29, 1.2559831142425537, 2.815265655517578
30, 1.238481879234314, 2.727984666824341
31, 1.2024376392364502, 2.7452878952026367
32, 1.198441743850708, 2.733975648880005
33, 1.1548957824707031, 2.933519124984741
34, 1.1628999710083008, 2.752345085144043
35, 1.0867632627487183, 2.7421200275421143
36, 1.1068280935287476, 2.934027910232544
37, 1.0455846786499023, 2.766543388366699
38, 1.05336332321167, 2.675577402114868
39, 1.050835132598877, 2.9276692867279053
40, 1.040750503540039, 2.782541275024414
41, 0.9838958382606506, 2.833831310272217
42, 0.9950026869773865, 2.8071110248565674
43, 0.9910100698471069, 2.718947172164917
44, 0.9423765540122986, 3.1803090572357178
45, 0.9375128746032715, 2.7779958248138428
46, 0.909018337726593, 2.913361072540283
47, 0.9143253564834595, 2.9363510608673096
48, 0.9293776750564575, 2.800692319869995
49, 0.9097254276275635, 2.7507436275482178
50, 0.8881407976150513, 2.788569927215576
51, 0.8922894597053528, 2.8090789318084717
52, 0.8706116676330566, 2.903890371322632
53, 0.8613945245742798, 2.8877015113830566
54, 0.8396825194358826, 2.743969440460205
55, 0.8239895701408386, 2.8065264225006104
56, 0.8312587738037109, 3.225142240524292
57, 0.8184903264045715, 2.9708778858184814
58, 0.8166536092758179, 2.8548405170440674
59, 0.8222814798355103, 2.9191274642944336
60, 0.7833300828933716, 2.811462163925171
